"","x"
"26898",362
"577548",362
"707494",362
"648305",362
"473108",362
"729300",361
"405683",361
"108210",361
"674858",361
"155119",361
"196214",361
"408422",361
"259993",361
"725853",361
"1301201",361
"487766",360
"166300",360
"1589947",360
"1162272",360
"129275",359
"868533",359
"886614",359
"578626",359
"392980",359
"651488",359
"987038",359
"538465",358
"1417706",358
"633120",358
"871930",358
"1167455",358
"179922",357
"514237",357
"673917",357
"230155",357
"1294180",357
"1285638",357
"1711686",357
"1556149",357
"5551",356
"405251",356
"760738",356
"1299233",356
"704169",356
"872888",356
"701429",355
"592537",355
"511549",355
"1676691",355
"206948",355
"298805",355
"482936",355
"673292",355
"1217358",355
"1283348",355
"348296",354
"516022",354
"527664",354
"190143",354
"849350",354
"671335",354
"195852",353
"1132199",353
"140831",353
"525190",353
"858081",353
"249774",353
"1156252",353
"614034",352
"264149",352
"327426",352
"211594",352
"751525",352
"1308317",352
"865796",352
"1169276",352
"154924",351
"881997",351
"166291",351
"584112",351
"942760",351
"868826",351
"421324",350
"1661113",350
"1407300",350
"301210",349
"1406011",349
"686839",349
"597816",349
"156142",349
"1075181",349
"1114395",349
"730047",349
"577428",348
"292713",348
"1359775",348
"229096",347
"247705",347
"1145345",347
"1148735",347
"834572",346
"596842",346
"248443",346
"108996",346
"1276037",346
"297793",345
"556807",345
"1699261",345
"1365490",345
"826769",344
"1270253",344
"1262096",344
"614497",343
"263399",343
"733238",343
"281192",343
"1327540",343
"96335",343
"646521",343
"862027",343
"1240625",343
"1229984",343
"1541108",343
"420089",342
"768416",342
"1273454",342
"429641",342
"381877",342
"1184029",342
"494568",342
"121702",341
"769264",341
"444821",341
"648344",341
"363444",341
"1110084",341
"1122070",341
"1257666",341
"474085",340
"718053",340
"886130",340
"690163",340
"689414",340
"1036001",340
"251501",340
"213691",340
"1326426",340
"1019583",340
"864516",340
"658361",340
"718442",339
"638172",339
"487846",339
"224576",339
"1275353",339
"1271158",339
"645455",338
"637086",338
"393176",338
"199752",338
"1168961",338
"1229380",338
"822299",338
"960904",338
"1484837",338
"1461745",338
"1352511",337
"615768",337
"344748",337
"626591",337
"561438",337
"512717",337
"529954",337
"1155598",337
"169159",336
"1201121",336
"916653",336
"1143517",336
"708982",335
"658407",335
"242606",335
"788281",335
"715476",335
"606024",335
"360881",334
"357062",334
"401693",334
"1024190",334
"549947",334
"1297731",334
"1111147",334
"1231062",333
"1125738",333
"403975",333
"1266230",333
"269425",332
"44117",332
"355892",332
"248116",332
"788329",332
"546968",332
"229334",332
"1293448",332
"584807",331
"625789",331
"642496",331
"65184",331
"164070",331
"460937",331
"886900",331
"1060128",331
"421725",331
"621345",331
"978292",331
"1259732",331
"321212",330
"492653",330
"600978",330
"1151013",330
"1643968",330
"986376",330
"705803",330
"1614577",329
"564689",329
"607805",329
"581900",328
"851099",328
"51208",328
"931491",328
"383287",328
"1000796",328
"459447",328
"1191712",328
"1299590",327
"679532",327
"1180760",327
"764866",327
"269853",327
"615205",327
"731937",327
"670896",327
"1261014",327
"888992",327
"870162",327
"703674",326
"854543",326
"996602",326
"803133",326
"341795",326
"805630",326
"1164878",326
"1155777",326
"392723",326
"25429",325
"455600",325
"471153",325
"390828",325
"651874",325
"856485",325
"1131544",325
"246152",325
"1018582",325
"210898",325
"990432",325
"896861",325
"712771",324
"402494",324
"956759",324
"356693",324
"365331",324
"447354",324
"250493",324
"680812",324
"912884",324
"1107299",323
"622150",323
"1114664",323
"326829",323
"284428",323
"1193322",323
"1632647",323
"113128",322
"591161",322
"1471623",322
"647847",322
"457273",322
"1122599",322
"491271",321
"1536032",321
"538642",321
"1271644",321
"1291235",321
"1237101",321
"513082",320
"198587",320
"706550",320
"582569",320
